c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:32
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   1600  777.5773
    all   1610  834.1908
    all   1620   334.222
    all   1630  117.2357
    all   1640  320.9475
    all   1650  113.9923
    all   1660  604.7862
    all   1670  173.3349
    all   1680  734.6864
    all   1690  174.0478
    all   1700  513.4282
    all   1710   299.844
    all   1900  625.0889
    all   1910  4.469323
    all   1930  17.58535
    all   2010  1110.141
    all   2020  586.8615
    all   2030  482.0243
    all   2040  1203.019
    all   2050  609.1526
    all   2060  913.7536
    all   2070  1470.563
    all   2080  823.6903
    all   2090   1813.74
    all   2100  347.6255
    all   2110  34.94848
    all   2120  34.94848
    all   2130  714.6187
    all   2140  .5712938
    all   2150  17.64739
    all   2160  243.3303
    all   2170  6.751889
    all   2180  104.7112
    all   2190  605.8808
    all   2200  54.09382
    all   2210  409.3115
    all   2220  446.6041
    all   2230  200.9199
    all   2240  186.8321
    all   2250  267.8188
    all   2260  395.0763
    all   2270  197.0546
    all   2280  262.3961
    all   2290   665.503
    all   2300  603.6356
    all   2310  1266.873
    all   2320  149.2035
    all   2330   906.139
    all   2900  72.46103
    all   2910  255.4433
    all   2920  1065.016
    all   3000  653.0091
    all   3010  874.1477
    all   3020  851.3987
    all   3030  801.2861
    all   3040  648.8478
    all   3050  1599.255
    all   3060  958.3485
    all   3070  1103.567
    all   3080  314.5811
    all   3090  1000.359
    all   3100  846.1949
    all   3110  325.1861
    all   3120  583.4329
    all   3130  644.0494
    all   3140  443.2005
    all   3150  302.3973
    all   3160  242.2739
    all   3170  1734.845
    all   3180  175.9968
    all   3190   724.007
    all   3200  1077.827
    all   3210  661.7993
    all   3220  518.0637
    all   3230  461.8448
    all   3240  356.2808
    all   3250  381.6071
    all   3260  411.7726
    all   3270  516.6329
    all   3280  188.1837
    all   3290   163.028
    all   3300  317.6716
    all   3310  908.1629
    all   3320   271.308
    all   3330  541.7734
    all   3340   916.713
    all   3350  701.4263
    all   3360  126.8078
    all   3370  595.2978
    all   3380  445.4998
    all   3390  927.1926
    all   3400  931.7943
    all   3410  359.1231
    all   3420  65.07522
    all   3430  530.3207
    all   3440  656.9902
    all   3450  229.1255
    all   3460  1620.269
    all   3470  449.7647
    all   3480  845.7715
    all   3490  1086.689
    all   3500  751.2539
    all   3510  758.9941
    all   3520  964.8701
    all   3530  1009.553
    all   3540  107.1445
    all   3550  767.4844
    all   3560  415.3773
    all   3570  728.9078
    all   3580  639.1423
    all   3590  849.0558
    all   3600  819.0328
    all   3610  585.4525
    all   3620  804.3893
    all   3630  654.0527
    all   3640   1053.16
    all   3650  1071.568
    all   3660  787.0165
    all   3670  727.2275
    all   3680  450.0089
    all   3690  339.7062
    all   3700  770.0997
    all   3710  541.2274
    all   3720   718.579
    all   3730  446.7364
    all   3740  684.3511
    all   3750  710.2979
    all   3760  85.18796
    all   3770  556.6326
    all   3780  78.93629
    all   3790  569.4004
    all   3800  816.5175
    all   3810  1343.864
    all   3820  560.0239
    all   3830  901.4152
    all   3840   692.317
    all   3850  1035.566
    all   3870  672.0938
    all   3880  836.8361
    all   3890  775.1599
    all   3900  970.2986
    all   3910  630.7847
    all   3920  298.7493
    all   3930  712.8174
    all   3940  394.4763
    all   3950  425.7072
    all   3960  543.9543
    all   3970  761.0638
    all   3980  444.1637
    all   3990  129.2374
    all   4000  1086.612
    all   4010  1006.805
    all   4020  457.3006
    all   4030  325.8471
    all   4040  948.7227
    all   4050  202.7343
    all   4060  650.5673
    all   4070  521.0319
    all   4080  161.9077
    all   4090  777.2626
    all   4100  350.9807
    all   4110  766.6594
    all   4120  732.1428
    all   4130  267.7951
    all   4140  378.9983
    all   4150  541.7344
    all   4170   412.058
    all   4180  274.9708
    all   4190  267.9228
    all   4200  647.4905
    all   4210  433.4265
    all   4220  336.3997
    all   4230  1222.288
    all   4240  1572.015
    all   4250  195.5964
    all   4260  593.3018
    all   4270  394.5862
    all   4280  356.8989
    all   4290  305.5497
    all   4300  214.8719
    all   4310  352.4034
    all   4320  564.8956
    all   4330    771.39
    all   4340  161.7643
    all   4350  457.4114
    all   4360   624.679
    all   4370  464.5854
    all   4380  435.9949
    all   4390  953.0209
    all   4400  811.6784
    all   4410   38.0185
    all   4420  67.54053
    all   4430   196.392
    all   4440  206.8674
    all   4450  418.3289
    all   4460  479.4932
    all   4470  1778.192
    all   4480  3.597861
    all   4490  647.6182
    all   4500  511.7662
    all   4510  814.7419
    all   4520  285.1626
    all   4530  372.3541
    all   4540  120.0281
    all   4550   979.184
    all   4560  742.5187
    all   4700  230.1037
    all   4710   870.909
    all   4720  628.7011
    all   4730  272.2623
    all   4740   1249.36
    all   4750  1986.643
    all   4760  2100.506
    all   4770  464.0406
    all   4780  611.6732
    all   4790  408.3112
    all   4800  464.0268
    all   4810  547.8776
    all   4820  811.6071
    all   4830  956.2897
    all   4840  10.36914
    all   5000  97.69255
    all   5010  220.1859
    all   5030  12.94043
    all   5040  548.1724
    all   5050  560.8289
    all   5060  986.3022
    all   5070  1052.394
    all   5080  1447.263
    all   5100  361.7471
    all   5110  534.2576
    all   5120  1003.772
    all   5130  74.88097
    all   5140  848.8904
    all   5150  254.7531
    all   5160  664.8965
    all   5170  637.7039
    all   5180  1162.931
    all   5190  3.131562
    all   5200  .6455899
    all   5210  1.056236
    all   5220  523.2936
    all   5230  614.7361
    all   5240  116.6035
    all   5250  868.6396
    all   5260  764.3999
    all   5270  628.0907
    all   5280  254.2835
    all   5290  456.2886
    all   5300  74.18011
    all   5310  152.3667
    all   5320  712.0762
    all   5330  619.2845
    all   5340  677.9014
    all   5350  1135.156
    all   5360  241.3775
    all   5370  635.4573
    all   5380  558.5191
    all   5390  784.1229
    all   5400  563.1737
    all   5410  206.1556
    all   5420  280.6484
    all   5430  31.82391
    all   5440  102.8725
    all   5450  18.69213
    all   5460  25.99146
    all   5500  349.5396
    all   5510  179.5623
    all   5520  572.0583
    all   5530  1461.395
    all   5550  228.9952
    all   5560  507.8071
    all   5570  413.2277
    all   5590  876.4269
    all   5600   500.304
    all   5610  667.3726
    all   5620   334.031
    all   5630  345.6932
    all   5640  871.8656
    all   5650  225.1554
    all   5700  56.17841
    all   5710  855.2598
    all   5720  93.78247
    all   5730  1388.309
    all   5740  39.81623
    all   5800  1246.639
    all   5810  692.8157
    all   5820  706.3839
    all   5830   795.152
    all   5840  1176.275
    all   5850  690.3725
    all   5860  980.8362
    all   5870  80.93494
    all   5880  239.9405
    all   5890   905.297
    all   5900  196.4196
    all   5910  1101.523
    all   5920  784.1332
    all   5930   208.279
    all   5940   179.838
    all   5950  96.84046
    all   5960  91.24788
    all   6000  2.594042
    all   6020  94.19949
    all   6030  1.253196
    all   6040  881.0254
    all   6050  538.2349
    all   6060  774.1981
    all   6070  612.2887
    all   6080  678.0524
    all   6090  486.6317
    all   6100  771.5098
    all   6110  601.5276
    all   6120  705.5555
    all   6130  547.1106
    all   6140  581.0182
    all   6150  534.6155
    all   6160  849.8284
    all   6170  6.096663
    all   6180   361.823
    all   6190  67.73012
    all   6200  289.4059
    all   6210  461.8879
    all   6220  1174.605
    all   6230  1437.914
    all   6240  471.6994
    all   6250  311.5111
    all   6260  568.3958
    all   6270  893.3167
    all   6280  1030.537
    all   6290  377.5876
    all   6300   739.327
    all   6310  563.5357
    all   6320  51.81741
    all   6330  515.8255
    all   6340  686.7067
    all   6350  424.9216
    all   6360  1210.494
    all   6370  80.96992
    all   6380  699.5857
    all   6400  245.8032
    all   6410  433.5887
    all   6420   518.884
    all   6430   253.792
    all   6450  86.84963
    all   6460  86.76198
    all   6470  53.25761
    all   6480   550.405
    all   6700  760.7713
    all   6710  986.0075
    all   6720  687.1948
    all   6740  152.1616
    all   6750   29.0502
    all   6760  47.75233
    all   6770  405.4467
    all   6780  11.81777
    all   6800  46.16483
    all   6810  34.04599
    all   6910  625.4035
    all   6920  729.1531
    all   6930  552.7642
    all   6940   549.918
    all   6950  478.8333
    all   7000  681.9387
    all   7010  1109.034
    all   7020  518.9919
    all   7030  1052.566
    all   7040  787.6747
    all   7050  845.1509
    all   7060   981.097
    all   7070   419.268
    all   7080   222.758
    all   7100   46.6187
    all   7110  115.5396
    all   7120   474.949
    all   7130  861.1542
    all   7140  802.0258
    all   7150  521.1035
    all   7160  316.6268
    all   7170  131.9296
    all   7180  416.3803
    all   7190  647.4321
    all   7200  379.6867
    all   7210  481.0187
    all   7220  580.8197
    all   7230  602.3358
    all   7240  580.4386
    all   7250  254.9424
    all   7260    415.51
    all   7270  882.8462
    all   7280  108.1332
    all   7290  380.8896
    all   7300  598.5152
    all   7320  580.6631
    all   7330  950.4114
    all   7340  365.4501
    all   7350  457.9234
    all   7360  230.8539
    all   7370  273.1941
    all   7380  267.9105
    all   7390  877.7653
    all   7400  376.7023
    all   7410  769.6215
    all   7420  1049.936
    all   7430  429.3109
    all   7440  724.5092
    all   7450  614.1071
    all   7460  662.6757
    all   7470  501.1253
    all   7480  928.0352
    all   7490   227.213
    all   7500  914.2299
    all   7510  384.1265
    all   7520  611.5685
    all   7530  320.7124
    all   7540  547.8885
    all   7550  1071.263
    all   7560  919.2708
    all   7570  947.2709
    all   7580  1110.027
    all   7590  669.9555
    all   7600  683.0787
    all   7610  923.4774
    all   7620  236.7149
    all   7630  800.2042
    all   7640    116.52
    all   7650  647.1527
    all   7660   582.311
    all   7670  832.4391
    all   7680  406.9637
    all   7690  382.8105
    all   7700  897.3584
    all   7710  169.7684
    all   7720  1643.673
    all   7730   423.211
    all   7740  376.1382
    all   7750  95.79426
    all   7760  1246.969
    all   7770  1161.027
    all   7780  814.8315
    all   7790  573.9834
    all   7800  5.914068
    all   7810  174.6609
    all   7820   38.4324
    all   7830  406.4043
    all   7840  821.1771
    all   7850  154.9654
    all   7860  657.2723
    all   7870  426.1467
    all   7880  40.66547
    all   7890  1239.327
    all   7900   2012.78
    all   7910  1095.169
    all   7920  734.6243
    all   7930  794.7997
    all   8000  470.2029
    all   8010  430.9785
    all   8020  519.4168
    all   8030  896.6023
    all   8040  331.3414
    all   8050  505.6171
    all   8060  1065.508
    all   8070  1269.658
    all   8080  1304.038
    all   8090  630.9952
    all   8100  12.08338
    all   8110  918.8455
    all   8120    655.42
    all   8130  83.02878
    all   8140  221.4015
    all   8150   91.4319
    all   8160  73.55121
    all   8170  141.2821
    all   8180  91.05843
    all   8200  334.5549
    all   8210  1528.131
    all   8220   1909.92
    all   8300  .7563218
    all   8310  94.22166
    all   8320  2041.401
    all   8330  371.5079
    all   8340  319.5133
    all   8350  803.3782
    all   8360  554.7126
    all   8370  191.2383
    all   8400  1381.099
    all   8410  129.3559
    all   8420  739.4039
    all   8430  1074.218
    all   8440  228.3723
    all   8450   357.702
    all   8460  134.7229
    all   8470  88.31364
    all   8480  151.3111
    all   8490  95.38311
    all   8500  58.97798
    all   8510  38.55563
    all   8520  268.0825
    all   8530  1246.762
    all   8540  599.7682
    all   8550  387.9527
    all   8560  536.1948
    all   8570  56.04538
    all   8590  150.7259
    all   8600   226.573
    all   8610  252.4268
    all   8620  505.6939
    all   8630  261.9097
    all   8640   82.6463
    all   8650  329.0262
    all   8660  633.8392
    all   8670  549.9277
    all   8680  425.1825
    all   8690  307.0515
    all   8700  591.6715
    all   8710  70.11502
    all   8720  98.46262
    all   8730   159.739
    all   8740  117.2043
    all   8750  182.5458
    all   8760  94.22066
    all   8770  109.9544
    all   8780  109.1063
    all   8790  96.92982
    all   8800  188.3968
    all   8810  12.87943
    all   8820  47.08929
    all   8830  678.8925
    all   8840   935.832
    all   9000  243.1487
    all   9010   148.171
    all   9020  108.3006
    all   9030  125.5152
    all   9040  330.6782
    all   9060  936.4473
    all   9070  996.0605
    all   9080  570.9778
    all   9090  57.87584
    all   9100  454.8879
    all   9110  196.3908
    all   9120  368.5933
    all   9140  40.33247
    all   9150  414.1471
    all   9160  299.9371
    all   9170     179.4
    all   9180  40.93503
    all   9190  1088.749
    all   9200  267.5112
    all   9300  467.4355
    all   9310  596.0901
    all   9320  174.4789
    all   9330  1270.802
    all   9340   782.285
    all   9350  1119.958
    all   9360  324.2181
    all   9370  909.3779
    all   9380  345.6337
    all   9390  1160.715
    all   9400  1349.444
    all   9410  1090.639
    all   9420   1371.22
    all   9430  321.9627
    all   9440  214.9458
    all   9450  6.576017
    all   9460  824.5471
    all   9470  1291.363
    all   9500  573.1444
    all   9510  853.6042
    all   9520  375.3063
    all   9530  332.4092
    all   9540  1444.903
    all   9550  143.3897
    all   9560  594.4777
    all   9570  242.3529
    all   9600  857.5703
    all   9610  471.5667
    all   9620  1440.524
    all   9630  1064.633
    all   9640   1446.46
    all   9650  1205.551
    all   9660    1921.5
    all   9670  807.9725
    all   9680  1490.352
    all   9690  380.4799
    all   9700  265.7937
    all   9710   60.0465
    all   9720  175.0033
    all   9730  167.5367
    all   9740  24.93323
    all   9800  927.6819
    all   9810   1214.38
a matrix=md26  HhHiIn   0.0 Household High Income                   
    all   1000  393.8019
    all   1010  1248.439
    all   1020  182.0242
    all   1030  237.0754
    all   1040   654.248
    all   1050  1281.502
    all   1060  1010.466
    all   1070  966.0932
    all   1080  421.7275
    all   1090  1088.202
